    x	        Bx	    Bxperc	        By	    Byperc	     Bprod	    Bprodp	      Bmax	     Bmaxp
 -525	    0.0099	   -0.5169	    0.1184	    0.3813	    0.1189	   -0.1118	    0.1189	   -0.1118
 -520	    0.0102	    2.3750	    0.1207	   -0.2253	    0.1212	    0.1327	    0.1212	    0.1327
 -515	    0.0105	   -4.2000	    0.1231	    0.0576	    0.1235	   -0.3861	    0.1235	   -0.3861
 -510	    0.0109	   -1.3603	    0.1255	    0.3866	    0.1260	   -0.0385	    0.1260	   -0.0385
 -505	    0.0112	    1.5928	    0.1280	   -0.0257	    0.1285	    0.3548	    0.1285	    0.3548
 -500	    0.0115	   -4.0573	    0.1305	   -0.3623	    0.1310	    0.0245	    0.1310	    0.0245
 -495	    0.0119	   -1.1266	    0.1332	    0.1210	    0.1337	   -0.2325	    0.1337	   -0.2325
 -490	    0.0122	    1.9245	    0.1359	   -0.0905	    0.1364	    0.3135	    0.1364	    0.3135
 -485	    0.0126	   -2.9823	    0.1387	   -0.2326	    0.1392	    0.1792	    0.1392	    0.1792
 -480	    0.0130	    0.0743	    0.1416	   -0.3072	    0.1422	    0.1129	    0.1422	    0.1129
 -475	    0.0134	    3.2607	    0.1445	   -0.3160	    0.1452	    0.1130	    0.1452	    0.1130
 -470	    0.0139	   -1.0295	    0.1476	   -0.2604	    0.1483	    0.1780	    0.1483	    0.1780
 -465	    0.0143	    2.1899	    0.1508	   -0.1416	    0.1515	    0.3069	    0.1515	    0.3069
 -460	    0.0148	   -1.4864	    0.1541	    0.0395	    0.1548	   -0.1497	    0.1548	   -0.1497
 -455	    0.0153	    1.7890	    0.1574	    0.2823	    0.1582	    0.1151	    0.1582	    0.1151
 -450	    0.0158	   -1.3646	    0.1609	   -0.0386	    0.1617	   -0.1792	    0.1617	   -0.1792
 -445	    0.0163	    1.9889	    0.1645	   -0.2728	    0.1654	    0.2164	    0.1654	    0.2164
 -440	    0.0169	   -0.7096	    0.1683	    0.1694	    0.1691	    0.0763	    0.1691	    0.0763
 -435	    0.0175	    2.7443	    0.1721	    0.0858	    0.1730	    0.0181	    0.1730	    0.0181
 -430	    0.0181	    0.4513	    0.1761	    0.0823	    0.1771	    0.0398	    0.1771	    0.0398
 -425	    0.0187	   -1.4469	    0.1803	    0.1569	    0.1813	    0.1394	    0.1813	    0.1394
